Book Name,Author,Rating,Customers_Rated,Price
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"3,163",₹ 499.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"1,239",₹ 698.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"5,147",₹ 84.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"10,784",₹ 135.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"16,981",₹ 99.00
A Brief History of Modern India (2019-2020 Edition) by  Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"1,064",₹ 415.00
"Indian Economy for Civil Services, Universities and Other Examinations (11th edition)",Ramesh Singh,4.3 out of 5 stars,633,₹ 398.00
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"14,126",₹ 99.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.5 out of 5 stars,"1,829",₹ 399.00
How to Win Friends and Influence People,Dale Carnegie,4.6 out of 5 stars,"15,782",₹ 99.00
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.5 out of 5 stars,978,₹ 99.00
Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5 out of 5 stars,"14,981",₹ 359.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.4 out of 5 stars,"2,305",₹ 291.00
25 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2019),Disha Experts,4.3 out of 5 stars,"1,131",₹ 290.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,287,₹ 254.00
Colour with Crayons Part - 1,Dreamland Publications,4.1 out of 5 stars,518,₹ 56.00
The Alchemist,Paulo Coelho,4.7 out of 5 stars,"22,621",₹ 315.00
